Job Title,Account Tier,Strength,Decision-Making Power / Seniority  ,Vertical,Sub-Vertical,Pod,Industry,Original Source,Original Source Drill-Down 1
Commercial Director at Oztix,4,C ,C - Lower-level in relevant teams,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,API
Accounts Manager,4,D ,D - Lower-level in non-relevant teams,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,API
Digital Strategy & Commercial Mgr,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,ENTERTAINMENT,Offline Sources,API
Senior Customer Advisor,5,D ,D - Lower-level in non-relevant teams,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Offline Sources,API
Commercial Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,API
Developer,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,API
Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,API
"Partnership Manager, Ozsale",4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,API
Chief Executive,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,API
Chief Technology Officer,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,API
COO,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,API
Marketing Communications Manager - eCommerce,5,C ,C - Lower-level in relevant teams,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Offline Sources,API
Director of Digital Strategy and Marketing,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food and Beverage Subscriptions,Subscription,Food & Beverages,Offline Sources,API
Trading Manager,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,API
Operations Manager,4,D ,D - Lower-level in non-relevant teams,Ticketing,Movies,Entertainment,Arts & Entertainment,Offline Sources,API
Preloved Trading Manager,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,API
,6,X ,X - Not Specified,Services,Utilities,Electronics & Gaming,Local services,Offline Sources,API
Director,4,D ,D - Lower-level in non-relevant teams,Ticketing,Movies,Entertainment,Arts & Entertainment,Offline Sources,API
"Product and Marketing Manager, New Media",4,C ,C - Lower-level in relevant teams,Media and Entertainment,Classifieds,Media,Arts & Entertainment,Offline Sources,API
Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,API
CEO,5,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,API
"SVP, Partnership Marketing and Sales",5,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,API
Partners and Outreach Manager,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,API
CEO,4,A ,A - CEO/CXO,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,API
"Director, Account Management",5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,API
Online Marketing Manager,5,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,API
Email Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,API
Senior Account Manager - Western Australia,5,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Telco,REAL_ESTATE,Organic Search,Unknown keywords (SSL)
